FR0003500008;02/01/17;4845.96;4896.01;4843.93;4882.38;1169888
FR0003500008;03/01/17;4904.77;4929.60;4896.11;4899.33;3005268
FR0003500008;04/01/17;4912.95;4913.94;4879.23;4899.40;2887044
FR0003500008;05/01/17;4881.72;4905.84;4874.79;4900.64;2968784
FR0003500008;06/01/17;4885.19;4911.49;4874.42;4909.84;2651627
FR0003500008;09/01/17;4915.35;4915.60;4867.83;4887.57;2595038
FR0003500008;10/01/17;4894.45;4906.15;4868.50;4888.23;3005772
FR0003500008;11/01/17;4890.04;4916.48;4856.50;4888.71;3115141
FR0003500008;12/01/17;4873.01;4889.21;4857.44;4863.97;3302762
FR0003500008;13/01/17;4889.45;4924.58;4883.06;4922.49;3952794
FR0003500008;16/01/17;4883.43;4911.39;4879.80;4882.18;2876860
FR0003500008;17/01/17;4865.19;4889.16;4841.68;4859.69;2892545
FR0003500008;18/01/17;4874.31;4875.74;4827.11;4853.40;2918464
FR0003500008;19/01/17;4859.76;4867.58;4829.82;4841.14;3563285
FR0003500008;20/01/17;4834.30;4869.38;4818.88;4850.67;4348020
FR0003500008;23/01/17;4816.98;4842.97;4800.39;4821.41;2827245
FR0003500008;24/01/17;4831.95;4840.50;4816.73;4830.03;2894798
FR0003500008;25/01/17;4865.09;4890.16;4854.55;4877.67;3805374
FR0003500008;26/01/17;4891.86;4901.07;4855.76;4867.24;3176092
FR0003500008;27/01/17;4867.31;4867.31;4829.70;4839.98;2811953
FR0003500008;30/01/17;4823.50;4830.69;4771.98;4784.64;2874512
FR0003500008;31/01/17;4790.28;4812.55;4748.90;4748.90;3681335
FR0003500008;01/02/17;4786.85;4823.81;4782.61;4794.58;3276466
FR0003500008;02/02/17;4785.14;4812.31;4774.18;4794.29;2996839
FR0003500008;03/02/17;4808.46;4847.47;4803.91;4825.42;2679247
FR0003500008;06/02/17;4829.68;4841.17;4773.35;4778.08;2643982
FR0003500008;07/02/17;4762.17;4787.94;4750.03;4754.47;2942323
FR0003500008;08/02/17;4768.00;4790.29;4733.82;4766.60;3628763
FR0003500008;09/02/17;4793.01;4831.31;4769.86;4826.24;3464128
FR0003500008;10/02/17;4842.91;4845.45;4815.67;4828.32;3348598
