,listing_id,date,available,price
9159882,4089247,2018-07-27,t,$139.00
2905059,51479,2019-02-10,t,$99.00
13484352,5030210,2018-08-31,t,$599.00
21440076,21189546,2018-03-31,f,
2652017,19338621,2018-12-28,t,$81.00
17213063,21932819,2018-12-16,f,
18844189,7143756,2018-04-07,f,
16904338,11963112,2018-09-19,f,
18802978,12161696,2019-03-04,f,
19714938,16060358,2019-02-02,f,
9802008,14021375,2018-05-14,f,
17607428,7258469,2018-08-25,f,
21164307,11661026,2018-08-16,f,
21600841,15493178,2018-10-16,f,
16402505,15922509,2018-08-13,f,
20555538,3572038,2019-02-21,t,$78.00
16372248,11207123,2018-08-19,f,
14835851,7433947,2018-12-31,t,$70.00
16935414,11647908,2018-08-24,f,
11723055,512717,2018-03-23,f,
1919852,11580464,2018-04-23,f,
14344388,7675508,2019-01-29,f,
4916020,1347452,2018-06-05,t,$80.00
10762270,5737526,2018-06-07,f,
14592669,14433491,2018-04-06,f,
13328554,12285276,2019-01-20,f,
16207233,13759019,2018-10-21,f,
6989290,13609105,2019-01-04,f,
3974247,11857096,2018-10-31,f,
11067864,12002621,2018-12-31,f,
16427216,18253502,2018-11-09,t,$58.00
7756581,6359864,2018-04-10,f,
19790895,19362286,2018-07-19,f,
14719336,9878425,2018-03-25,f,
5260507,9840144,2018-10-04,f,
16582390,3187842,2018-09-24,f,
1093863,1052143,2018-04-17,t,"$1,500.00"
6468740,14736531,2019-01-30,t,$35.00
18603100,17290726,2018-10-14,f,
13303917,1390186,2018-08-31,t,$249.00
548194,21502110,2018-04-13,f,
8768809,10479211,2018-12-05,f,
12225339,18379978,2018-11-13,f,
2188309,1796713,2018-08-28,t,$64.00
2453490,23521506,2018-04-16,t,$93.00
15479673,10951505,2019-02-12,f,
817758,18066127,2018-09-15,t,$285.00
20985464,13744468,2018-08-08,f,
2509911,5516909,2018-09-16,f,
17933715,8042145,2018-07-24,f,
15043436,21572700,2018-04-15,t,$80.00
1468969,20316491,2018-07-28,f,
20691194,19888266,2018-12-22,f,
